Reconhecimento Léxico:
Token: PLAY | Valor: 'play' | Linha: 1
Token: TIPO_INTEIRO | Valor: 'int' | Linha: 2
Token: VARIAVEL | Valor: 'a' | Linha: 2
Token: PONTOVIRGULA | Valor: ';' | Linha: 2
Token: TIPO_INTEIRO | Valor: 'int' | Linha: 3
Token: VARIAVEL | Valor: 'b' | Linha: 3
Token: PONTOVIRGULA | Valor: ';' | Linha: 3
Token: TIPO_INTEIRO | Valor: 'int' | Linha: 4
Token: VARIAVEL | Valor: 'max' | Linha: 4
Token: PONTOVIRGULA | Valor: ';' | Linha: 4
Token: ENTRADA | Valor: 'read' | Linha: 5
Token: ABREPARENTESE | Valor: '(' | Linha: 5
Token: VARIAVEL | Valor: 'a' | Linha: 5
Token: FECHAPARENTESE | Valor: ')' | Linha: 5
Token: PONTOVIRGULA | Valor: ';' | Linha: 5
Token: ENTRADA | Valor: 'read' | Linha: 6
Token: ABREPARENTESE | Valor: '(' | Linha: 6
Token: VARIAVEL | Valor: 'b' | Linha: 6
Token: FECHAPARENTESE | Valor: ')' | Linha: 6
Token: PONTOVIRGULA | Valor: ';' | Linha: 6
Token: CASO | Valor: 'if' | Linha: 7
Token: ABREPARENTESE | Valor: '(' | Linha: 7
Token: VARIAVEL | Valor: 'a' | Linha: 7
Token: MAIOR | Valor: '>' | Linha: 7
Token: VARIAVEL | Valor: 'b' | Linha: 7
Token: FECHAPARENTESE | Valor: ')' | Linha: 7
Token: INICIOBLOCO | Valor: '{' | Linha: 7
Token: VARIAVEL | Valor: 'max' | Linha: 8
Token: ATRIBUICAO | Valor: '<-' | Linha: 8
Token: VARIAVEL | Valor: 'a' | Linha: 8
Token: PONTOVIRGULA | Valor: ';' | Linha: 8
Token: FIMBLOCO | Valor: '}' | Linha: 9
Token: CASOCONTRARIO | Valor: 'else' | Linha: 9
Token: INICIOBLOCO | Valor: '{' | Linha: 9
Token: VARIAVEL | Valor: 'max' | Linha: 10
Token: ATRIBUICAO | Valor: '<-' | Linha: 10
Token: VARIAVEL | Valor: 'b' | Linha: 10
Token: PONTOVIRGULA | Valor: ';' | Linha: 10
Token: FIMBLOCO | Valor: '}' | Linha: 11
Token: SAIDA | Valor: 'write' | Linha: 12
Token: ABREPARENTESE | Valor: '(' | Linha: 12
Token: VARIAVEL | Valor: 'max' | Linha: 12
Token: FECHAPARENTESE | Valor: ')' | Linha: 12
Token: PONTOVIRGULA | Valor: ';' | Linha: 12
Token: CLOSE | Valor: 'close' | Linha: 13

Reconhecimento Sintático:
Análise sintática concluída sem erros.
